Scope,Language,CommunityID
Global,en,1
Global,de,1
Global,nl,1
Global,cs,1
Global,it,0
Global,es,0
Global,PT-PT,0
Global,ro,0
Global,da,1
Global,fr,0
Global,pl,1
Global,hu,1
Global,el,1
Global,NB,1
animals,en,0
animals,de,0
animals,nl,0
animals,cs,0
animals,it,1
animals,es,1
animals,PT-PT,1
animals,ro,1
animals,da,0
animals,fr,1
animals,pl,0
animals,hu,0
animals,el,0
animals,NB,0
body,en,1
body,de,1
body,nl,1
body,cs,0
body,it,2
body,es,2
body,PT-PT,2
body,ro,2
body,da,1
body,fr,2
body,pl,0
body,hu,0
body,el,0
body,NB,1
business,en,0
business,de,1
business,nl,1
business,cs,1
business,it,0
business,es,0
business,PT-PT,0
business,ro,0
business,da,1
business,fr,0
business,pl,1
business,hu,1
business,el,1
business,NB,1
clothes,en,0
clothes,de,0
clothes,nl,0
clothes,cs,0
clothes,it,1
clothes,es,1
clothes,PT-PT,1
clothes,ro,1
clothes,da,0
clothes,fr,1
clothes,pl,0
clothes,hu,0
clothes,el,0
clothes,NB,0
colors,en,0
colors,de,0
colors,nl,0
colors,cs,0
colors,it,0
colors,es,0
colors,PT-PT,0
colors,ro,0
colors,da,0
colors,fr,0
colors,pl,0
colors,hu,0
colors,el,0
colors,NB,0
computer,en,0
computer,de,0
computer,nl,0
computer,cs,0
computer,it,1
computer,es,1
computer,PT-PT,1
computer,ro,1
computer,da,0
computer,fr,1
computer,pl,0
computer,hu,0
computer,el,0
computer,NB,0
cooking,en,0
cooking,de,0
cooking,nl,0
cooking,cs,0
cooking,it,1
cooking,es,1
cooking,PT-PT,1
cooking,ro,1
cooking,da,0
cooking,fr,1
cooking,pl,0
cooking,hu,0
cooking,el,0
cooking,NB,0
desserts,en,0
desserts,de,0
desserts,nl,0
desserts,cs,0
desserts,it,1
desserts,es,1
desserts,PT-PT,1
desserts,ro,1
desserts,da,0
desserts,fr,1
desserts,pl,1
desserts,hu,0
desserts,el,0
desserts,NB,0
driving,en,1
driving,de,1
driving,nl,1
driving,cs,1
driving,it,0
driving,es,0
driving,PT-PT,0
driving,ro,0
driving,da,1
driving,fr,0
driving,pl,1
driving,hu,1
driving,el,1
driving,NB,1
emotions,en,2
emotions,de,0
emotions,nl,0
emotions,cs,1
emotions,it,2
emotions,es,2
emotions,PT-PT,2
emotions,ro,2
emotions,da,0
emotions,fr,2
emotions,pl,1
emotions,hu,1
emotions,el,1
emotions,NB,0
family,en,0
family,de,0
family,nl,0
family,cs,1
family,it,2
family,es,2
family,PT-PT,2
family,ro,2
family,da,0
family,fr,2
family,pl,1
family,hu,1
family,el,1
family,NB,0
food,en,0
food,de,0
food,nl,0
food,cs,0
food,it,1
food,es,1
food,PT-PT,1
food,ro,1
food,da,0
food,fr,1
food,pl,0
food,hu,0
food,el,0
food,NB,0
fruits,en,0
fruits,de,0
fruits,nl,0
fruits,cs,0
fruits,it,1
fruits,es,1
fruits,PT-PT,1
fruits,ro,1
fruits,da,0
fruits,fr,1
fruits,pl,0
fruits,hu,0
fruits,el,0
fruits,NB,0
furniture,en,0
furniture,de,0
furniture,nl,0
furniture,cs,0
furniture,it,1
furniture,es,1
furniture,PT-PT,1
furniture,ro,1
furniture,da,0
furniture,fr,1
furniture,pl,0
furniture,hu,0
furniture,el,0
furniture,NB,0
house,en,0
house,de,0
house,nl,0
house,cs,1
house,it,2
house,es,2
house,PT-PT,2
house,ro,2
house,da,0
house,fr,2
house,pl,1
house,hu,1
house,el,1
house,NB,0
medical terms,en,0
medical terms,de,1
medical terms,nl,1
medical terms,cs,1
medical terms,it,0
medical terms,es,0
medical terms,PT-PT,0
medical terms,ro,0
medical terms,da,1
medical terms,fr,0
medical terms,pl,1
medical terms,hu,1
medical terms,el,1
medical terms,NB,1
music,en,0
music,de,0
music,nl,0
music,cs,0
music,it,0
music,es,0
music,PT-PT,0
music,ro,0
music,da,0
music,fr,0
music,pl,0
music,hu,0
music,el,0
music,NB,0
occupations,en,0
occupations,de,1
occupations,nl,1
occupations,cs,1
occupations,it,0
occupations,es,0
occupations,PT-PT,0
occupations,ro,0
occupations,da,1
occupations,fr,0
occupations,pl,1
occupations,hu,1
occupations,el,1
occupations,NB,1
personal qualities,en,0
personal qualities,de,1
personal qualities,nl,1
personal qualities,cs,1
personal qualities,it,0
personal qualities,es,0
personal qualities,PT-PT,0
personal qualities,ro,0
personal qualities,da,1
personal qualities,fr,0
personal qualities,pl,1
personal qualities,hu,1
personal qualities,el,1
personal qualities,NB,1
plants,en,1
plants,de,1
plants,nl,1
plants,cs,1
plants,it,0
plants,es,0
plants,PT-PT,0
plants,ro,0
plants,da,1
plants,fr,0
plants,pl,1
plants,hu,1
plants,el,1
plants,NB,1
restaurant,en,1
restaurant,de,1
restaurant,nl,1
restaurant,cs,1
restaurant,it,0
restaurant,es,0
restaurant,PT-PT,0
restaurant,ro,0
restaurant,da,1
restaurant,fr,0
restaurant,pl,1
restaurant,hu,1
restaurant,el,1
restaurant,NB,1
school,en,0
school,de,0
school,nl,0
school,cs,0
school,it,1
school,es,1
school,PT-PT,1
school,ro,1
school,da,0
school,fr,1
school,pl,0
school,hu,0
school,el,0
school,NB,0
shapes,en,0
shapes,de,0
shapes,nl,0
shapes,cs,0
shapes,it,1
shapes,es,1
shapes,PT-PT,1
shapes,ro,1
shapes,da,0
shapes,fr,1
shapes,pl,0
shapes,hu,0
shapes,el,0
shapes,NB,0
shoes,en,0
shoes,de,0
shoes,nl,0
shoes,cs,1
shoes,it,1
shoes,es,1
shoes,PT-PT,1
shoes,ro,1
shoes,da,0
shoes,fr,1
shoes,pl,1
shoes,hu,0
shoes,el,0
shoes,NB,0
shopping,en,0
shopping,de,0
shopping,nl,0
shopping,cs,0
shopping,it,1
shopping,es,1
shopping,PT-PT,1
shopping,ro,1
shopping,da,0
shopping,fr,1
shopping,pl,0
shopping,hu,0
shopping,el,0
shopping,NB,0
sports,en,0
sports,de,0
sports,nl,0
sports,cs,0
sports,it,1
sports,es,1
sports,PT-PT,1
sports,ro,1
sports,da,0
sports,fr,1
sports,pl,0
sports,hu,0
sports,el,0
sports,NB,0
transportations,en,0
transportations,de,0
transportations,nl,0
transportations,cs,0
transportations,it,1
transportations,es,1
transportations,PT-PT,1
transportations,ro,1
transportations,da,0
transportations,fr,1
transportations,pl,0
transportations,hu,0
transportations,el,0
transportations,NB,0
weather,en,0
weather,de,0
weather,nl,0
weather,cs,0
weather,it,1
weather,es,1
weather,PT-PT,1
weather,ro,1
weather,da,0
weather,fr,1
weather,pl,1
weather,hu,0
weather,el,0
weather,NB,0
