Language1,Language2,GlobalSimilarity
en,de,0.4471709039139934
en,nl,0.4895461312784415
en,cs,0.3746040285041815
en,it,0.4110799146760738
en,es,0.4108329377512103
en,PT-PT,0.37766478914085044
en,ro,0.4262003313874294
en,da,0.4571611487470589
en,fr,0.4371128144454416
en,pl,0.32270701778187405
en,hu,0.349400880666695
en,el,0.16968403491736417
en,NB,0.45407530349566766
de,nl,0.5145234318137264
de,cs,0.3210546471108793
de,it,0.32212411904463495
de,es,0.3100992998175341
de,PT-PT,0.2893177640976203
de,ro,0.3312238987912758
de,da,0.48701201430331215
de,fr,0.33741602640353474
de,pl,0.29364753199590216
de,hu,0.3066320134591395
de,el,0.11615165126785959
de,NB,0.4809675085474606
nl,cs,0.33027267221594736
nl,it,0.3366929479543404
nl,es,0.3299344977465502
nl,PT-PT,0.304571185848216
nl,ro,0.3481162683520907
nl,da,0.47909110732688753
nl,fr,0.35235157356993535
nl,pl,0.3000534803769219
nl,hu,0.3085609581228524
nl,el,0.12565572393517857
nl,NB,0.46854426749538863
cs,it,0.30330754495978574
cs,es,0.30089279800821905
cs,PT-PT,0.27933325189141717
cs,ro,0.323190967912708
cs,da,0.32567351016844676
cs,fr,0.2909515994882199
cs,pl,0.3866934309487857
cs,hu,0.31644150047184283
cs,el,0.1353940796656237
cs,NB,0.32719681505363124
it,es,0.5371619843330132
it,PT-PT,0.5234662358453196
it,ro,0.486278661221404
it,da,0.32807537634949085
it,fr,0.4760968536601036
it,pl,0.31407505501069016
it,hu,0.2734252368393613
it,el,0.10956746424740378
it,NB,0.32386363418018144
es,PT-PT,0.6329577598192513
es,ro,0.46250611385723306
es,da,0.3121791680189633
es,fr,0.4682107600434458
es,pl,0.3063403937154279
es,hu,0.2727207208975099
es,el,0.11703276306874111
es,NB,0.31007935495664707
PT-PT,ro,0.4505302778381204
PT-PT,da,0.297867449441087
PT-PT,fr,0.45687840563867715
PT-PT,pl,0.2907248027923171
PT-PT,hu,0.25062088522551756
PT-PT,el,0.09814981711966322
PT-PT,NB,0.2940481834822993
ro,da,0.33934658558421377
ro,fr,0.4714065039263443
ro,pl,0.3294595293325288
ro,hu,0.285755078865864
ro,el,0.12254861366405967
ro,NB,0.33460392708006237
da,fr,0.3349879877368646
da,pl,0.3001805196770936
da,hu,0.30644852182954907
da,el,0.1177184343158325
da,NB,0.7724592600550854
fr,pl,0.28992516756046377
fr,hu,0.26242206710750254
fr,el,0.10635595786862156
fr,NB,0.3299702023889558
pl,hu,0.2687320209616525
pl,el,0.10551136721803754
pl,NB,0.30123650826225423
hu,el,0.13531763672720737
hu,NB,0.3051476178571867
el,NB,0.1167280976458381
