Topic,Language1,Language2,TopicSimilarity,GlobalSimilarity,Difference,OutlierType
music,cs,da,0.646,0.326,0.321,Positive
music,es,pl,0.622,0.306,0.315,Positive
music,cs,NB,0.642,0.327,0.315,Positive
music,PT-PT,pl,0.600,0.291,0.310,Positive
music,cs,it,0.613,0.303,0.310,Positive
music,nl,cs,0.638,0.330,0.308,Positive
music,it,pl,0.619,0.314,0.305,Positive
music,de,cs,0.619,0.321,0.298,Positive
music,cs,fr,0.587,0.291,0.296,Positive
music,el,NB,0.413,0.117,0.296,Positive
music,it,NB,0.618,0.324,0.294,Positive
music,cs,es,0.595,0.301,0.294,Positive
music,hu,NB,0.599,0.305,0.293,Positive
music,en,cs,0.668,0.375,0.293,Positive
music,it,da,0.620,0.328,0.292,Positive
music,cs,PT-PT,0.571,0.279,0.292,Positive
music,pl,NB,0.593,0.301,0.292,Positive
music,da,el,0.407,0.118,0.289,Positive
music,it,hu,0.563,0.273,0.289,Positive
music,cs,hu,0.605,0.316,0.289,Positive
music,da,pl,0.589,0.300,0.288,Positive
music,da,hu,0.594,0.306,0.288,Positive
music,fr,pl,0.575,0.290,0.285,Positive
music,it,el,0.394,0.110,0.285,Positive
music,en,el,0.454,0.170,0.284,Positive
music,cs,el,0.419,0.135,0.283,Positive
music,de,it,0.605,0.322,0.283,Positive
music,hu,el,0.417,0.135,0.282,Positive
music,pl,hu,0.549,0.269,0.280,Positive
music,nl,el,0.405,0.126,0.280,Positive
music,nl,it,0.615,0.337,0.278,Positive
music,nl,pl,0.577,0.300,0.277,Positive
music,es,hu,0.548,0.273,0.275,Positive
music,de,el,0.391,0.116,0.275,Positive
music,nl,hu,0.582,0.309,0.274,Positive
music,de,es,0.584,0.310,0.274,Positive
music,es,da,0.586,0.312,0.274,Positive
music,fr,el,0.379,0.106,0.273,Positive
music,es,NB,0.582,0.310,0.272,Positive
music,nl,es,0.601,0.330,0.271,Positive
music,nl,PT-PT,0.575,0.305,0.271,Positive
music,de,pl,0.564,0.294,0.270,Positive
music,de,hu,0.577,0.307,0.270,Positive
music,PT-PT,el,0.367,0.098,0.269,Positive
music,es,el,0.386,0.117,0.269,Positive
music,pl,el,0.374,0.106,0.269,Positive
music,PT-PT,NB,0.563,0.294,0.269,Positive
music,PT-PT,hu,0.519,0.251,0.268,Positive
music,nl,fr,0.620,0.352,0.267,Positive
music,fr,hu,0.530,0.262,0.267,Positive
music,cs,ro,0.590,0.323,0.267,Positive
music,da,fr,0.602,0.335,0.267,Positive
music,de,PT-PT,0.556,0.289,0.267,Positive
music,nl,ro,0.615,0.348,0.267,Positive
music,ro,pl,0.595,0.329,0.266,Positive
music,PT-PT,da,0.563,0.298,0.265,Positive
music,en,pl,0.588,0.323,0.265,Positive
music,fr,NB,0.595,0.330,0.265,Positive
music,en,it,0.675,0.411,0.264,Positive
music,en,hu,0.611,0.349,0.262,Positive
music,en,NB,0.713,0.454,0.259,Positive
music,de,fr,0.591,0.337,0.254,Positive
music,en,fr,0.690,0.437,0.253,Positive
music,en,da,0.709,0.457,0.252,Positive
music,ro,hu,0.537,0.286,0.252,Positive
shapes,it,es,0.789,0.537,0.251,Positive
shapes,it,PT-PT,0.774,0.523,0.250,Positive
music,ro,el,0.372,0.123,0.250,Positive
music,ro,da,0.589,0.339,0.249,Positive
music,en,PT-PT,0.626,0.378,0.248,Positive
music,ro,NB,0.581,0.335,0.246,Positive
shapes,es,PT-PT,0.872,0.633,0.239,Positive
music,en,es,0.650,0.411,0.239,Positive
music,de,ro,0.567,0.331,0.236,Positive
music,en,de,0.681,0.447,0.234,Positive
shapes,es,ro,0.696,0.463,0.233,Positive
music,cs,pl,0.616,0.387,0.230,Positive
music,it,es,0.765,0.537,0.227,Positive
music,en,nl,0.715,0.490,0.225,Positive
music,en,ro,0.650,0.426,0.223,Positive
music,nl,NB,0.691,0.469,0.222,Positive
music,it,PT-PT,0.745,0.523,0.222,Positive
shapes,PT-PT,ro,0.671,0.451,0.221,Positive
music,it,ro,0.707,0.486,0.221,Positive
music,de,NB,0.699,0.481,0.218,Positive
music,it,fr,0.693,0.476,0.217,Positive
computer,en,nl,0.705,0.490,0.215,Positive
music,nl,da,0.692,0.479,0.213,Positive
music,de,da,0.700,0.487,0.213,Positive
music,es,ro,0.673,0.463,0.211,Positive
music,PT-PT,ro,0.655,0.451,0.205,Positive
music,ro,fr,0.675,0.471,0.203,Positive
